247_index,rivals_index,ID,playerName,college,city,state,highSchool,position,year,sum
85,2588,1,1.0,1.0,0.07692307692307687,1,1.0,1,1,0.868131868131868
86,1111,1,1.0,1.0,1.0,1,0.6666666666666667,0,1,0.8095238095238095
86,5841,0,0.16666666666666663,1.0,1.0,1,0.4,0,1,0.6523809523809524
87,1111,0,0.16666666666666663,1.0,1.0,1,0.4482758620689655,0,1,0.6592775041050903
87,5841,1,1.0,1.0,1.0,1,0.5172413793103448,0,1,0.7881773399014779
88,2636,1,1.0,1.0,0.19999999999999996,1,0.5,0,1,0.6714285714285715
89,865,1,1.0,1.0,0.1333333333333333,1,1.0,1,1,0.8761904761904761
90,3146,1,1.0,1.0,0.23076923076923073,1,0.6,0,1,0.6901098901098902
91,1596,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
92,203,1,1.0,1.0,0.0,1,1.0,0,1,0.7142857142857143
93,271,1,1.0,1.0,1.0,1,0.38888888888888884,1,1,0.9126984126984128
94,3407,1,1.0,1.0,0.0,1,1.0,0,1,0.7142857142857143
95,5091,1,1.0,1.0,0.07692307692307687,1,1.0,0,1,0.7252747252747253
96,3509,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
97,2432,1,1.0,1.0,0.4,1,1.0,0,1,0.7714285714285715
98,3802,1,1.0,1.0,1.0,1,0.5882352941176471,1,1,0.9411764705882353
99,3866,0,0.7222222222222222,1.0,1.0,1,1.0,0,1,0.8174603174603174
100,1411,1,1.0,1.0,1.0,1,1.0,1,1,1.0
101,3743,1,1.0,1.0,1.0,1,0.43999999999999995,0,1,0.777142857142857
102,3067,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
103,4651,1,1.0,1.0,0.5294117647058824,1,1.0,0,1,0.7899159663865546
104,5878,1,1.0,1.0,1.0,1,0.6111111111111112,1,1,0.9444444444444444
105,4319,1,1.0,1.0,1.0,1,0.2666666666666667,0,1,0.7523809523809524
106,3755,1,1.0,1.0,1.0,1,1.0,1,1,1.0
107,4422,1,1.0,1.0,1.0,1,0.631578947368421,0,1,0.8045112781954887
108,3569,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
109,118,1,1.0,1.0,0.6363636363636364,1,0.8387096774193549,1,1,0.9250104733975701
109,4681,0,0.41666666666666663,1.0,0.6363636363636364,1,0.8387096774193549,1,1,0.8416771400642368
110,3244,1,1.0,1.0,1.0,1,1.0,1,1,1.0
111,448,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
112,4271,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
114,4218,1,1.0,1.0,1.0,1,0.5882352941176471,0,1,0.7983193277310924
115,2299,0,0.875,1.0,1.0,1,0.5384615384615384,1,1,0.9162087912087912
116,4569,1,1.0,1.0,1.0,1,0.5625,0,1,0.7946428571428571
117,1189,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
118,3241,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
119,3538,1,1.0,1.0,1.0,1,1.0,1,1,1.0
120,118,0,0.41666666666666663,1.0,0.6363636363636364,1,0.8387096774193549,1,1,0.8416771400642368
120,4681,1,1.0,1.0,0.6363636363636364,1,0.8387096774193549,1,1,0.9250104733975701
121,5139,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
122,2478,1,1.0,1.0,1.0,1,1.0,1,1,1.0
123,4943,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
124,3171,1,1.0,1.0,1.0,1,0.5882352941176471,0,1,0.7983193277310924
125,3221,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
126,5823,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
127,706,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
127,1973,0,0.2727272727272727,1.0,0.30000000000000004,1,0.0,1,1,0.6532467532467532
129,4082,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
130,4757,1,1.0,1.0,0.9090909090909091,1,1.0,0,1,0.8441558441558442
131,415,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
132,1184,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
133,149,1,1.0,1.0,0.8,1,1.0,0,1,0.8285714285714285
134,186,1,1.0,1.0,1.0,1,1.0,1,1,1.0
134,594,0,0.6666666666666667,1.0,1.0,1,1.0,1,1,0.9523809523809524
135,21,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
136,158,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
137,3320,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
138,186,0,0.6666666666666667,1.0,1.0,1,1.0,1,1,0.9523809523809524
138,594,1,1.0,1.0,1.0,1,1.0,1,1,1.0
139,3788,1,1.0,1.0,1.0,1,0.0,0,1,0.7142857142857143
140,1694,1,1.0,1.0,1.0,1,0.0,1,1,0.8571428571428571
142,3503,1,1.0,1.0,0.8333333333333334,1,0.0,0,1,0.6904761904761906
143,2170,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
144,5199,1,1.0,1.0,1.0,1,1.0,0,1,0.8571428571428571
145,4540,1,1.0,1.0,1.0,1,1.0,1,1,1.0
