rivals_ID,0
leshaunminor_indiana_2017,False
ethanpiper_nebraska_2019,False
jeffreyclement_maryland_2005,False
aeneashawkins_pennstate_2018,False
malikwashington_northwestern_2019,False
kenmontgomery_maryland_2018,False
garrettwilson_ohiostate_2019,False
devraunthompson_rutgers_2003,False
kendarianhandyholly_minnesota_2017,False
pauljoran_wisconsin_2002,False
mylanhicks_michiganstate_2010,False
jimcordle_ohiostate_2005,False
jayvalai_wisconsin_2006,False
kristianwelch_iowa_2016,False
petermcintyre_northwestern_2017,False
lancebillings_iowa_2016,False
ryannoblet_purdue_2003,False
jamreekromah_rutgers_2018,False
mohamedibrahim_minnesota_2017,False
djgillins_wisconsin_2014,False
andreamos_ohiostate_2005,False
dariandailey_rutgers_2014,False
daviddawson_michigan_2013,False
gemongreen_michigan_2018,False
adrianclayborn_iowa_2006,False
denzeldrone_michiganstate_2009,False
calebday_illinois_2013,False
prestonzachman_wisconsin_2020,False
tonylippett_michiganstate_2010,False
marvingrant_purdue_2019,False
delontehollowell_michigan_2011,False
treyjohnson_ohiostate_2013,False
derriongrim_nebraska_2016,False
dorianbell_ohiostate_2009,False
rexburkhead_nebraska_2009,False
etevamauga_nebraska_2020,False
camerontaylor_nebraska_2018,False
zacharyslade_michiganstate_2018,False
zachsterup_nebraska_2011,False
jamesprather_northwestern_2014,False
adampatterson_michigan_2006,False
rileymcminn_iowa_2011,False
markortmann_michigan_2005,False
cjbryant_northwestern_2010,False
mattsnyder_nebraska_2015,False
danerandolph_maryland_2004,False
justissscales_minnesota_2002,False
anthonyromphf_purdue_2020,False
charlesloveiii_indiana_2008,False
daviddurham_ohiostate_2010,False
parkercothren_pennstate_2013,False
jasoncabinda_pennstate_2014,False
benbarten_wisconsin_2020,False
brucehampton_indiana_2005,False
dezmensouthward_wisconsin_2009,False
benbraden_michigan_2012,False
jaymccants_indiana_2011,False
clintbrewster_minnesota_2007,False
seanchristie_maryland_2014,False
cameronposey_purdue_2012,False
tylerwarren_pennstate_2020,False
kevinfeder_ohiostate_2015,False
tyveljemison_purdue_2013,False
anthonymorgan_iowa_2012,False
philbenker_indiana_2016,False
noahfenske_iowa_2019,False
monteriohunt_rutgers_2019,False
justinfrye_indiana_2002,False
justinturner_michigan_2009,False
seanmcevilly_northwestern_2010,False
antwonhiggs_purdue_2009,False
marcusjones_minnesota_2011,False
willhenry_nebraska_2006,False
dandreasberry_rutgers_2002,False
grahampocic_illinois_2008,False
jacobcoons_iowa_2017,False
isaiahjacobs_maryland_2020,False
jakeseibert_ohiostate_2020,False
cedricjeffries_pennstate_2006,False
martezshabazz_minnesota_2012,False
jerrygibson_minnesota_2014,False
troyreeder_pennstate_2014,False
broderickbinns_iowa_2007,False
anthonywoods_michiganstate_2008,False
charliemangieri_northwestern_2018,False
mickstoltenberg_nebraska_2014,False
frankieburgess_maryland_2020,False
pierrejackson_minnesota_2002,False
chasehoobler_indiana_2010,False
jackstewart_michigan_2019,False
tyvispowell_ohiostate_2012,False
sammays_illinois_2015,False
brendonwhite_ohiostate_2017,False
noapolagates_nebraska_2019,False
eddavis_michiganstate_2011,False
philipnelson_minnesota_2012,False
michaelshaw_michigan_2008,False
louisdorsey_illinois_2017,False
sirodwilliams_illinois_2005,False
larrytracy_indiana_2019,False
patrickkugler_michigan_2013,False
donavanhale_indiana_2015,False
connorfoster_northwestern_2019,False
davidojabo_michigan_2019,False
stephenbuckley_northwestern_2012,False
kylekillion_indiana_2002,False
brandonsmith_ohiostate_2004,False
claytonsievers_nebraska_2004,False
antwainecarter_maryland_2014,False
marteslewis_minnesota_2020,False
coreybrown_ohiostate_2009,False
davepeck_wisconsin_2004,False
jakekarchinski_iowa_2019,False
christiangraham_purdue_2004,False
randyboxill_rutgers_2002,False
