,247_index,school,year,playerName,highSchool,city,state,position,height,weight,compRating,compStars,nationalRank,positionRank,stateRank,247Rating,247Stars,247positionRank,247stateRank,displayName,ID,247nationalRank,confidence,rivalsrivals_index,rivalsschool,rivalsyear,rivalsplayerName,rivalscity,rivalsstate,rivalshighSchool,rivalsposition,rivalsheight,rivalsweight,rivalsstars,rivalsnationalRank,rivalspositionRank,rivalsstateRank,rivalsdisplayName,rivalsID,rivalsrawSchool
217,6183,oklahoma,2006,brandoncabel,Fork Union Military Academy,Fork Union,VA,WR,73.0,194,0.8843,3,14,3,11,  N/A  ,3.0,N/A,N/A,Brandon Cabel,brandoncabel_oklahoma,,0.9761904761904763,8990,oklahoma,2006,brandoncaleb,Fork Union,VA,Fork Union Military Academy,WR,73.0,194.0,3,,35.0,12.0,Brandon Caleb,brandoncaleb_oklahoma,
218,6210,kansas,2019,andrewparchment,Iowa Central C.C.,Fort Dodge,IA,WR,75.0,185,0.8466,3,99,10,7, 86  ,6.0,7,6,Andrew Parchment,andrewparchment_kansas,70,0.8761904761904761,6733,kansas,2019,ezranaylor,Fort Dodge,IA,Iowa Central C.C.,WR,76.0,210.0,3,83.0,,,Ezra Naylor,ezranaylor_kansas,
219,6217,kansas,2019,ezranaylor,Iowa Central C.C.,Fort Dodge,IA,WR,76.0,208,0.8094,3,271,34,18, 77  ,5.0,48,29,Ezra Naylor,ezranaylor_kansas,,0.8761904761904761,10323,kansas,2019,andrewparchment,Fort Dodge,IA,Iowa Central C.C.,WR,74.0,185.0,2,,,,Andrew Parchment,andrewparchment_kansas,
220,6233,tcu,2011,cameronwhite,DeSoto,DeSoto,TX,WR,74.0,185,0.8916,4,277,34,46,,,,,Cameron White,cameronwhite_tcu,,0.8877551020408163,6693,tcu,2011,davidporteriii,DeSoto,TX,DeSoto,WR,72.0,185.0,3,,45.0,61.0,David Porter III,davidporteriii_tcu,
221,6236,tcu,2011,davidporter,DeSoto,DeSoto,TX,WR,72.0,185,0.8628,3,497,62,75,,,,,David Porter,davidporter_tcu,,0.9693877551020408,6693,tcu,2011,davidporteriii,DeSoto,TX,DeSoto,WR,72.0,185.0,3,,45.0,61.0,David Porter III,davidporteriii_tcu,
222,6236,tcu,2011,davidporter,DeSoto,DeSoto,TX,WR,72.0,185,0.8628,3,497,62,75,,,,,David Porter,davidporter_tcu,,0.8809523809523808,9990,tcu,2011,cameronwhite,DeSoto,TX,DeSoto,WR,74.0,185.0,3,,50.0,72.0,Cameron White,cameronwhite_tcu,
223,6278,oklahoma,2010,josephpowell,Skyline,Dallas,TX,WR,71.0,175,0.8889,3,354,48,55,,,,,Joseph Powell,josephpowell_oklahoma,,0.8214285714285714,7849,oklahoma,2010,joepowell,Dallas,TX,Skyline,ATH,71.0,174.0,3,,57.0,82.0,Joe Powell,joepowell_oklahoma,
224,6323,texastech,2009,christopherknighton,Longview,Longview,TX,WDE,73.0,248,0.7944,2,NA,71,263,  N/A  ,2.0,N/A,N/A,Christopher Knighton,christopherknighton_texastech,,0.8120300751879699,8921,texastech,2009,chrisknighton,Longview,TX,Longview,DE,74.0,240.0,2,,,,Chris Knighton,chrisknighton_texastech,
225,6369,iowastate,2014,mikewarren,Lawton,Lawton,OK,RB,72.0,185,0.8593,3,628,40,9, 87  ,6.0,46,9,Mike Warren,mikewarren_iowastate,,0.9560439560439561,8578,iowastate,2014,michaelwarren,Lawton,OK,Lawton,RB,73.0,185.0,3,,35.0,7.0,Michael Warren,michaelwarren_iowastate,
226,6396,baylor,2015,poohstricklin,Midway,Waco,TX,WR,75.0,180,0.8834,3,379,51,51, 92  ,7.0,25,30,Pooh Stricklin,poohstricklin_baylor,230,0.9411764705882353,6941,baylor,2015,devontrestricklin,Waco,TX,Midway,WR,74.0,167.0,3,,58.0,60.0,Devontre Stricklin,devontrestricklin_baylor,
227,6397,baylor,2015,jwketchumiii,Lamar,Houston,TX,ATH,71.5,201,0.8777,3,419,31,57, 89  ,6.0,29,54,J.W. Ketchum III,jwketchumiii_baylor,,0.9642857142857143,8874,baylor,2015,jwketchum,Houston,TX,Lamar,ATH,73.0,190.0,4,,10.0,44.0,J.W. Ketchum,jwketchum_baylor,
228,6408,baylor,2015,lenoyjonesjr,Midway,Waco,TX,ILB,71.0,210,0.8137,3,NA,69,214, 78  ,5.0,80,271,Lenoy Jones Jr.,lenoyjonesjr_baylor,,0.8333333333333334,7454,baylor,2015,lenoyjones,Waco,TX,Midway,LB,71.0,217.0,2,,,,Lenoy Jones,lenoyjones_baylor,
229,6505,kansasstate,2011,michaelmoore,Skyline,Dallas,TX,OLB,73.0,215,0.8166,3,NA,101,199,,,,,Michael Moore,michaelmoore_kansasstate,,0.8095238095238095,6078,kansasstate,2011,mikemoore,Dallas,TX,Skyline,LB,73.0,213.0,3,,65.0,91.0,Mike Moore,mikemoore_kansasstate,
230,6510,kansasstate,2011,valkalafilutui,Mt. San Antonio College,Walnut,CA,DT,73.0,285,0.7926,2,92,11,33,,,,,Valkalafi Lutui,valkalafilutui_kansasstate,,0.9525288376220054,6751,kansasstate,2011,vaikalafilutui,Walnut,CA,Mt. San Antonio C.C.,DT,74.0,280.0,2,,,,Vaikalafi Lutui,vaikalafilutui_kansasstate,
231,6562,kansas,2015,stevensimsjr,Fort Bend Travis,Richmond,TX,WR,70.0,165,0.7973,3,NA,248,279, 75  ,5.0,319,392,Steven Sims Jr.,stevensimsjr_kansas,,0.8333333333333334,8532,kansas,2015,stevensims,Richmond,TX,Travis (Richmond),WR,70.0,165.0,2,,,,Steven Sims,stevensims_kansas,
232,6601,kansasstate,2006,jasoncoffman,Raymore-Peculiar,Peculiar,MO,PRO,77.0,200,0.7444,2,NA,62,24,  N/A  ,2.0,N/A,N/A,jason Coffman,jasoncoffman_kansasstate,,0.8351648351648352,10121,kansasstate,2006,carsoncoffman,Peculiar,MO,Raymore-Peculiar,QB,76.0,190.0,2,,,,Carson Coffman,carsoncoffman_kansasstate,
233,6611,kansas,2014,bobbyhartzogjr,Westside,Houston,TX,WR,71.0,186,0.8407,3,999,132,128, 85  ,6.0,125,121,Bobby Hartzog Jr.,bobbyhartzogjr_kansas,,0.979591836734694,9918,kansas,2014,bobbyhartzog,Houston,TX,Westside,WR,71.0,182.0,2,,,,Bobby Hartzog,bobbyhartzog_kansas,
234,6656,kansasstate,2010,justinwilliams,Navarro College,Corsicana,TX,DT,72.0,290,0.8556,3,55,10,9,  N/A  ,3.0,N/A,N/A,Justin Williams,justinwilliams_kansasstate,,0.8108843537414965,6300,kansasstate,2010,raykibble,Corsicana,TX,Navarro J.C.,DT,77.0,310.0,3,,,,Ray Kibble,raykibble_kansasstate,
235,6663,kansasstate,2010,raykibble,Navarro College,Corsicana,TX,DT,77.0,310,0.8111,3,108,19,16,  N/A  ,3.0,N/A,N/A,Ray Kibble,raykibble_kansasstate,,0.8108843537414965,5947,kansasstate,2010,justinwilliams,Corsicana,TX,Navarro J.C.,DT,72.0,290.0,3,,,,Justin Williams,justinwilliams_kansasstate,
236,6671,kansasstate,2010,destinmosely,Jefferson,Jefferson,TX,WR,69.0,175,0.7931,2,NA,245,305, 70  ,4.0,N/A,N/A,Destin Mosely,destinmosely_kansasstate,,0.8452380952380951,8513,kansasstate,2010,destinmosley,Jefferson,TX,Jefferson,ATH,69.0,175.0,3,,89.0,,Destin Mosley,destinmosley_kansasstate,
237,6784,iowastate,2015,jarnorjones,Georgia Military College,Milledgeville,GA,CB,75.0,210,0.8083,3,191,27,5, 72  ,5.0,N/A,N/A,Jarnor Jones,jarnorjones_iowastate,,0.8051948051948052,6120,iowastate,2015,jayjones,Milledgeville,GA,Georgia Military College,DB,75.0,210.0,2,,,,Jay Jones,jayjones_iowastate,
238,6796,oklahomastate,2017,tylanwallace,South Hills,Fort Worth,TX,WR,71.5,179,0.9442,4,121,17,20, 94  ,8.0,21,18,Tylan Wallace,tylanwallace_oklahomastate,125,0.8131868131868132,9676,oklahomastate,2017,tracinwallace,Fort Worth,TX,South Hills,ATH,72.0,175.0,3,,,,Tracin Wallace,tracinwallace_oklahomastate,
239,6801,oklahomastate,2017,tracinwallace,South Hills,Fort Worth,TX,ATH,73.0,170,0.8570,3,680,49,98, 88  ,6.0,31,56,Tracin Wallace,tracinwallace_oklahomastate,,0.8131868131868132,8529,oklahomastate,2017,tylanwallace,Fort Worth,TX,South Hills,WR,72.0,170.0,4,182.0,29.0,25.0,Tylan Wallace,tylanwallace_oklahomastate,
240,6810,oklahomastate,2017,tresterling,Sunnyvale,Sunnyvale,TX,S,72.0,184,0.8411,3,NA,84,151, 82  ,6.0,124,200,Tre Sterling,tresterling_oklahomastate,,0.8452380952380951,6707,oklahomastate,2017,treysterling,Sunnyvale,TX,Sunnyvale,DB,73.0,195.0,3,,,,Trey Sterling,treysterling_oklahomastate,
241,6847,kansas,2018,charlescole,Butler C.C.,El Dorado,KS,DT,75.0,280,0.8094,3,240,38,42, 77  ,5.0,39,63,Charles Cole,charlescole_kansas,,0.8279220779220778,9569,kansasstate,2018,tyquilomoore,El Dorado,KS,Butler C.C.,DT,76.0,295.0,3,,,,Tyquilo Moore,tyquilomoore_kansasstate,
242,6885,oklahoma,2011,frankshannon,Skyline,Dallas,TX,OLB,72.0,214,0.8918,4,273,18,45, 90  ,8.0,22,49,Frank Shannon,frankshannon_oklahoma,,0.8285714285714285,7508,oklahoma,2011,franklinshannon,Dallas,TX,Skyline,LB,74.0,210.0,3,,37.0,73.0,Franklin Shannon,franklinshannon_oklahoma,
243,6978,texas,2010,willruss,Evangel Christian Academy,Shreveport,LA,K,75.0,170,0.8479,3,NA,9,30,  N/A  ,3.0,N/A,N/A,Will Russ,willruss_texas,,0.9153246753246753,8323,texas,2010,williamruss,Shreveport,LA,Evangel Christian,K,75.0,170.0,3,,11.0,43.0,William Russ,williamruss_texas,
244,6981,baylor,2018,bjhanspard,DeSoto,DeSoto,TX,ATH,72.0,170,0.9114,4,237,11,30, 87  ,7.0,48,81,BJ Hanspard,bjhanspard_baylor,,0.8131868131868132,9802,baylor,2018,byronhanspard,DeSoto,TX,DeSoto,DB,72.0,180.0,4,,41.0,50.0,Byron Hanspard,byronhanspard_baylor,
245,6982,baylor,2018,joshfleeks,Cedar Hill,Cedar Hill,TX,WR,71.5,170,0.8984,4,311,50,40, 87  ,7.0,96,80,Josh Fleeks,joshfleeks_baylor,,0.8333333333333334,9741,baylor,2018,joshuafleeks,Cedar Hill,TX,Cedar Hill,RB,72.0,169.0,3,,14.0,74.0,Joshua Fleeks,joshuafleeks_baylor,
246,6987,baylor,2018,joshlandry,Lamar,Houston,TX,DT,74.0,250,0.8791,3,498,34,71, 85  ,6.0,62,116,Josh Landry,joshlandry_baylor,,0.8333333333333334,7237,baylor,2018,joshualandry,Houston,TX,Lamar,DE,75.0,250.0,4,,15.0,34.0,Joshua Landry,joshualandry_baylor,
247,7002,baylor,2018,issacpower,Ponderosa,Parker,CO,P,74.0,180,0.8034,3,NA,7,11, 75  ,5.0,8,20,Issac Power,issacpower_baylor,,0.8428571428571429,7184,baylor,2018,isaacpower,Parker,CO,Ponderosa,K,74.0,180.0,2,,,,Isaac Power,isaacpower_baylor,
248,7055,texastech,2004,charlesglover,Reedley College,Reedley,CA,DT,76.0,265,0.8333,3,67,11,26,  N/A  ,3.0,N/A,N/A,Charles Glover,charlesglover_texastech,,0.8306122448979593,6671,texastech,2004,marcuscampbell,Reedley,CA,Reedley C.C.,DT,76.0,305.0,3,,,,Marcus Campbell,marcuscampbell_texastech,
249,7133,iowastate,2012,dameinlawry,A Maceo Smith,Dallas,TX,ATH,71.0,170,0.8594,3,747,51,123, 89  ,6.0,26,65,Damein Lawry,dameinlawry_iowastate,,0.8536796536796537,7409,iowastate,2012,damienlawry,Dallas,TX,Wilmer-Hutchins,ATH,72.0,175.0,3,,38.0,82.0,Damien Lawry,damienlawry_iowastate,
250,7135,iowastate,2012,pjharris,South Lake,Groveland,FL,WR,74.0,180,0.8546,3,805,92,96, 88  ,6.0,60,57,P.J. Harris,pjharris_iowastate,,0.9340659340659341,6509,iowastate,2012,patrickharris,Groveland,FL,South Lake,WR,73.0,160.0,3,,93.0,,Patrick Harris,patrickharris_iowastate,
251,7135,iowastate,2012,pjharris,South Lake,Groveland,FL,WR,74.0,180,0.8546,3,805,92,96, 88  ,6.0,60,57,P.J. Harris,pjharris_iowastate,,0.8196248196248196,40003,kentstate,2012,jamesbrooks,Groveland,FL,South Lake,WR,70.0,196.0,3,,,,James Brooks,jamesbrooks_kentstate,Kent State
252,7149,iowastate,2012,cliffstokes,Trinity Valley C.C.,Athens,TX,CB,72.0,175,0.7833,2,174,23,21,  N/A  ,2.0,N/A,N/A,Cliff Stokes,cliffstokes_iowastate,,0.826530612244898,7659,iowastate,2012,cliffordstokes,Athens,TX,Trinity Valley C.C.,DB,73.0,175.0,3,,,,Clifford Stokes,cliffordstokes_iowastate,
253,7159,baylor,2013,quanjones,Wylie East,Wylie,TX,WR,77.0,200,0.8628,3,575,79,83, 89  ,6.0,50,58,Quan Jones,quanjones_baylor,,0.8883116883116884,7439,baylor,2013,vequanjones,Wylie,TX,East,WR,76.0,201.0,3,,67.0,63.0,Vequan Jones,vequanjones_baylor,
254,7172,baylor,2013,terellbrooks,Navarro College,Corsicana,TX,DT,76.0,290,0.7983,3,245,34,21, 83  ,6.0,19,9,Terell Brooks,terellbrooks_baylor,148,0.9223443223443224,9896,baylor,2013,terrellbrooks,Corsicana,TX,Navarro J.C.,DT,76.0,305.0,3,,,,Terrell Brooks,terrellbrooks_baylor,
255,7227,texastech,2019,dequanwatts,Maynard Jackson,Atlanta,GA,ATH,74.0,165,0.8579,3,921,64,92, 84  ,6.0,124,130,Dequan Watts,dequanwatts_texastech,,0.8125,9319,texastech,2019,dequanteouswatts,Atlanta,GA,Maynard Jackson,DB,74.0,171.0,3,,65.0,61.0,Dequanteous Watts,dequanteouswatts_texastech,
256,7231,texastech,2019,tonybradford,North Shore,Houston,TX,WDE,72.0,239,0.8358,3,NA,86,195, 79  ,5.0,127,324,Tony Bradford,tonybradford_texastech,,0.8367346938775511,7727,texastech,2019,tonybradfordjr,Houston,TX,North Shore,DE,73.0,243.0,3,,53.0,103.0,Tony Bradford Jr.,tonybradfordjr_texastech,
257,7239,texastech,2019,jonathangaribay,Riverside C.C.,Riverside,CA,K,72.0,200,0.7694,2,470,4,143, 75  ,4.0,4,150,Jonathan Garibay,jonathangaribay_texastech,,0.8874458874458876,6853,texastech,2019,jongaribay,Riverside,CA,Riverside City College,K,72.0,200.0,2,,,,Jon Garibay,jongaribay_texastech,
258,7248,oklahoma,2020,djgraham,Keller Central,Keller,TX,ATH,72.5,178,0.8817,3,458,22,63, 88  ,6.0,32,69,DJ Graham,djgraham_oklahoma,,0.8626373626373626,6797,oklahoma,2020,davongrahamii,Keller,TX,Central,ATH,73.0,175.0,3,,13.0,46.0,Davon Graham II,davongrahamii_oklahoma,
259,7249,oklahoma,2020,joshellison,Blinn College,Brenham,TX,DT,75.0,295,0.8810,3,22,2,4, 90  ,7.0,2,2,Josh Ellison,joshellison_oklahoma,8,0.9120879120879122,5990,oklahoma,2020,joshuaellison,Brenham,TX,Blinn C.C.,DT,75.0,285.0,3,37.0,,,Joshua Ellison,joshuaellison_oklahoma,
260,7295,kansasstate,2017,joshuabrown,Langston Hughes,Fairburn,GA,S,72.0,190,0.8553,3,717,52,71, 87  ,6.0,51,59,Joshua Brown,joshuabrown_kansasstate,,0.8311688311688312,8104,kansasstate,2017,joshbrown,Fairburn,GA,Langston Hughes,DB,73.0,205.0,3,,,85.0,Josh Brown,joshbrown_kansasstate,
261,7353,kansas,2013,ahongalufusimalohi,City College of San Francisco,San Francisco,CA,OG,75.0,320,0.8272,3,151,3,51, 84  ,6.0,2,39,Ahongalu Fusimalohi,ahongalufusimalohi_kansas,125,0.8333333333333334,7744,kansas,2013,ngalufusimalohi,San Francisco,CA,City College of San Francisco,OL,75.0,300.0,3,,,,Ngalu Fusimalohi,ngalufusimalohi_kansas,
262,7403,baylor,2009,tevinelliott,Mount Pleasant,Mount Pleasant,TX,WDE,75.0,230,0.8208,3,NA,55,212,  N/A  ,3.0,N/A,N/A,Tevin Elliott,tevinelliott_baylor,,0.8452380952380951,6261,baylor,2009,tevinelliot,Mount Pleasant,TX,Mount Pleasant,LB,75.0,215.0,2,,,,Tevin Elliot,tevinelliot_baylor,
263,7429,texas,2017,robcummins,All Saints Episcopal,Fort Worth,TX,SDE,78.0,255,0.8260,3,NA,74,203, 81  ,6.0,79,204,Rob Cummins,robcummins_texas,,0.8142857142857143,6275,texas,2017,maxcummins,Fort Worth,TX,All Saints Episcopal,DE,77.0,245.0,2,,,,Max Cummins,maxcummins_texas,
264,7453,iowastate,2008,henrysimon,Eastlake,Chula Vista,CA,DT,76.0,275,0.7444,2,NA,114,193,  N/A  ,2.0,N/A,N/A,Henry Simon,henrysimon_iowastate,,0.9230769230769231,44263,sandiegostate,2008,henrysimon,Chula Vista,CA,Eastlake,DT,76.0,275.0,2,,,,Henry Simon,henrysimon_sandiegostate,San Diego State
265,7474,texastech,2015,terencesteele,Steele,Cibolo,TX,OT,77.0,280,0.8065,3,NA,179,239, 78  ,5.0,214,286,Terence Steele,terencesteele_texastech,,0.8469387755102041,8004,texastech,2015,terrencesteele,Cibolo,TX,Steele,OL,77.0,295.0,3,,,,Terrence Steele,terrencesteele_texastech,
266,7503,kansas,2009,quintonwoods,Bakersfield College,Bakersfield,CA,WDE,78.0,245,0.8333,3,76,6,30,  N/A  ,3.0,N/A,N/A,Quinton Woods,quintonwoods_kansas,,0.800125313283208,9652,kansas,2009,quintinwoods,Bakersfield,CA,Bakersfield C.C.,DE,78.0,245.0,4,36.0,,,Quintin Woods,quintinwoods_kansas,
267,7504,tcu,2017,jalenreagor,Waxahachie,Waxahachie,TX,WR,71.0,185,0.9566,4,96,13,15, 96  ,8.0,11,8,Jalen Reagor,jalenreagor_tcu,69,0.8701298701298701,6803,tcu,2017,kenedysnell,Waxahachie,TX,Waxahachie,WR,68.0,175.0,3,,98.0,,Kenedy Snell,kenedysnell_tcu,
268,7512,tcu,2017,kenedysnell,Waxahachie,Waxahachie,TX,WR,68.0,170,0.8590,3,642,94,89, 86  ,6.0,116,111,Kenedy Snell,kenedysnell_tcu,,0.8701298701298701,8982,tcu,2017,jalenreagor,Waxahachie,TX,Waxahachie,WR,73.0,189.0,4,249.0,38.0,33.0,Jalen Reagor,jalenreagor_tcu,
269,7516,tcu,2017,georgeellisiii,American Heritage,Fort Lauderdale,FL,DT,74.0,290,0.8353,3,NA,81,183, 80  ,6.0,104,277,George Ellis III,georgeellisiii_tcu,,0.8360544217687075,10220,tcu,2017,georgeellis,Plantation,FL,American Heritage,DT,74.0,287.0,3,,,,George Ellis,georgeellis_tcu,
270,7532,oklahoma,2016,markjacksonjr,Steele,Cibolo,TX,WDE,74.5,221,0.9222,4,202,13,31, 91  ,8.0,20,40,Mark Jackson Jr.,markjacksonjr_oklahoma,,0.8351648351648352,9667,oklahoma,2016,markjackson,Cibolo,TX,Steele,DE,75.0,235.0,4,,13.0,36.0,Mark Jackson,markjackson_oklahoma,
271,7620,texastech,2014,nigelbethel,Booker T. Washington,Miami,FL,CB,69.0,173,0.8845,3,366,27,48, 88  ,6.0,37,58,Nigel Bethel,nigelbethel_texastech,,0.8351648351648352,8977,texastech,2014,nigelbethelii,Miami,FL,Booker T. Washington,DB,68.0,168.0,4,,24.0,44.0,Nigel Bethel II,nigelbethelii_texastech,
272,7622,texastech,2014,patrickmahomesii,Whitehouse,Whitehouse,TX,PRO,75.0,180,0.8807,3,398,22,50, 87  ,6.0,29,82,Patrick Mahomes II,patrickmahomesii_texastech,,0.8392857142857143,9602,texastech,2014,patrickmahomes,Whitehouse,TX,Whitehouse,QB,75.0,198.0,3,,12.0,49.0,Patrick Mahomes,patrickmahomes_texastech,
273,7656,texas,2016,devinduvernay,Sachse,Sachse,TX,WR,71.0,195,0.9803,4,37,5,4, 95  ,8.0,9,7,Devin Duvernay,devinduvernay_texas,72,0.819047619047619,9385,texas,2016,donovanduvernay,Sachse,TX,Sachse,ATH,69.0,185.0,3,,,,Donovan Duvernay,donovanduvernay_texas,
274,7671,texas,2016,dandrechristmas,St. Augustine,New Orleans,LA,DT,75.0,290,0.8920,4,328,35,21, 88  ,7.0,38,26,D'Andre Christmas,dandrechristmas_texas,,0.9642857142857143,8222,texas,2016,dandrechristmasgiles,New Orleans,LA,St. Augustine,DT,76.0,290.0,4,83.0,6.0,3.0,D'andre Christmas-Giles,dandrechristmasgiles_texas,
275,7681,texas,2016,donovanduvernay,Sachse,Sachse,TX,ATH,69.0,177,0.8478,3,881,62,114, 85  ,6.0,77,141,Donovan Duvernay,donovanduvernay_texas,,0.819047619047619,6857,texas,2016,devinduvernay,Sachse,TX,Sachse,WR,71.0,193.0,4,52.0,8.0,5.0,Devin Duvernay,devinduvernay_texas,
276,7726,baylor,2008,robertgriffiniii,Copperas Cove,Copperas Cove,TX,DUAL,74.0,220,0.8941,4,293,6,42,  N/A  ,4.0,N/A,N/A,Robert Griffin III,robertgriffiniii_baylor,,0.8303571428571429,10056,baylor,2008,robertgriffin,Copperas Cove,TX,Copperas Cove,QB,75.0,195.0,4,,4.0,42.0,Robert Griffin,robertgriffin_baylor,
277,7753,kansasstate,2020,tjsmith,McEachern,Powder Springs,GA,CB,69.0,183,0.8484,3,NA,100,122, 84  ,6.0,126,134,TJ Smith,tjsmith_kansasstate,,0.8051948051948052,9974,kansasstate,2020,tajirismith,Powder Springs,GA,McEachern,DB,70.0,185.0,3,,62.0,85.0,Tajiri Smith,tajirismith_kansasstate,
278,7809,kansas,2012,nasirmoore,East Los Angeles College,Monterey Park,CA,S,73.0,185,0.7000,2,287,23,114, 70  ,4.0,N/A,N/A,Nasir Moore,nasirmoore_kansas,,0.8285714285714285,10043,kansas,2012,nasmoore,Monterey Park,CA,East Los Angeles College,DB,72.0,190.0,2,,,,Nas Moore,nasmoore_kansas,
279,7812,kansas,2012,jordanshelleysmith,Reicher Catholic,Waco,TX,TE,77.0,247,NA,0,NA,NA,NA,  N/A  ,0.0,N/A,N/A,Jordan Shelley-Smith,jordanshelleysmith_kansas,,0.8640873015873015,6503,kansas,2012,jordansmith,Waco,TX,Reicher,TE,77.0,220.0,3,,,,Jordan Smith,jordansmith_kansas,
280,7833,kansasstate,2016,rayprice,Cerritos College,Norwalk,CA,DT,73.0,290,0.8106,3,223,24,64, 81  ,6.0,19,51,Ray Price,rayprice_kansasstate,187,0.8988095238095238,10288,kansasstate,2016,raymondprice,Norwalk,CA,Cerritos C.C.,DT,73.0,280.0,2,,,,Raymond Price,raymondprice_kansasstate,
