,247_index,school,year,playerName,highSchool,city,state,position,height,weight,compRating,compStars,nationalRank,positionRank,stateRank,247Rating,247Stars,247positionRank,247stateRank,displayName,ID,247nationalRank,confidence,rivalsrivals_index,rivalsschool,rivalsyear,rivalsplayerName,rivalscity,rivalsstate,rivalshighSchool,rivalsposition,rivalsheight,rivalsweight,rivalsstars,rivalsnationalRank,rivalspositionRank,rivalsstateRank,rivalsdisplayName,rivalsID,rivalsrawSchool
281,7868,oklahomastate,2007,tongatea,Snow College,Ephraim,UT,DT,72.0,315,0.9000,4,28,4,1,  N/A  ,4.0,N/A,N/A,Tonga Tea,tongatea_oklahomastate,,0.807081807081807,24753,oregonstate,2007,sioelinau,Ephraim,UT,Snow College,DT,75.0,310.0,3,,,,Sioeli Nau,sioelinau_oregonstate,Oregon State
282,7907,westvirginia,2011,vanceroberts,Dunbar,Washington,DC,CB,70.0,170,0.8752,3,368,31,3,,,,,Vance Roberts,vanceroberts_westvirginia,,0.8061224489795917,7072,westvirginia,2011,vernardroberts,Washington,DC,Dunbar,RB,70.5,174.0,3,,51.0,,Vernard Roberts,vernardroberts_westvirginia,
283,7908,westvirginia,2011,vernardroberts,Dunbar,Washington,DC,APB,71.0,174,0.8563,3,620,13,6,,,,,Vernard Roberts,vernardroberts_westvirginia,,0.8061224489795917,8067,westvirginia,2011,vanceroberts,Washington,DC,Dunbar,DB,70.0,166.0,4,219.0,19.0,1.0,Vance Roberts,vanceroberts_westvirginia,
284,7916,westvirginia,2011,kjmyers,First Coast,Jacksonville,FL,WR,74.0,190,0.8393,3,910,106,121, 80  ,6.0,131,142,K.J. Myers,kjmyers_westvirginia,,0.9285714285714286,9006,westvirginia,2011,kennethmyers,Jacksonville,FL,First Coast,WR,74.0,186.0,3,,,,Kenneth Myers,kennethmyers_westvirginia,
285,7967,baylor,2012,shocklinwood,Linden-Kildare,Linden,TX,ATH,70.0,185,0.8460,3,927,67,155, 88  ,6.0,33,73,Shock Linwood,shocklinwood_baylor,,0.8049219687875151,7785,baylor,2012,rashodricklinwood,Linden,TX,Linden Kildare,RB,69.0,180.0,3,,,,Rashodrick Linwood,rashodricklinwood_baylor,
286,8021,iowastate,2013,ejbibbs,Arizona Western College,Yuma,AZ,TE,75.0,245,0.8576,3,69,4,10, 86  ,6.0,4,12,E.J. Bibbs,ejbibbs_iowastate,81,0.8858098423315814,9837,iowastate,2013,emmanuelbibbs,Yuma,AZ,Arizona Western C.C.,TE,75.0,245.0,3,76.0,,,Emmanuel Bibbs,emmanuelbibbs_iowastate,
287,8055,oklahomastate,2011,miketaviousjones,North Shore,Houston,TX,CB,70.0,160,0.8579,3,584,40,89, 89  ,6.0,29,60,Miketavious Jones,miketaviousjones_oklahomastate,,0.8482142857142857,9919,oklahomastate,2011,miketaviusjones,Houston,TX,North Shore,DB,69.8,157.0,3,,,,Miketavius Jones,miketaviusjones_oklahomastate,
288,8107,oklahoma,2018,nikbonitto,St. Thomas Aquinas,Fort Lauderdale,FL,OLB,74.5,204,0.9167,4,220,17,40, 92  ,8.0,18,29,Nik Bonitto,nikbonitto_oklahoma,207,0.8163265306122449,7071,oklahoma,2018,nikolasbonitto,Fort Lauderdale,FL,St. Thomas Aquinas,LB,76.0,200.0,4,,33.0,73.0,Nikolas Bonitto,nikolasbonitto_oklahoma,
289,8190,kansas,2011,christianrobinson,Lake Mary,Lake Mary,FL,CB,69.0,165,0.8124,3,NA,98,175, 80  ,6.0,82,154,Christian Robinson,christianrobinson_kansas,,0.8235294117647058,6825,kansas,2011,chrisrobinson,Lake Mary,FL,Lake Mary,DB,69.0,170.0,3,,,,Chris Robinson,chrisrobinson_kansas,
290,8253,oklahomastate,2004,philipjones,Ryan,Denton,TX,WR,71.0,165,0.8333,3,528,63,82,  N/A  ,3.0,N/A,N/A,Philip Jones,philipjones_oklahomastate,,0.8452380952380951,8581,oklahomastate,2003,phillipjones,Denton,TX,Ryan,WR,71.0,165.0,3,,48.0,97.0,Phillip Jones,phillipjones_oklahomastate,
291,8287,westvirginia,2012,rickyrumph,Mainland,Daytona Beach,FL,CB,71.0,180,NA,0,NA,NA,NA,  N/A  ,0.0,N/A,N/A,Ricky Rumph,rickyrumph_westvirginia,,0.8428571428571429,5984,westvirginia,2012,rickrumph,Daytona Beach,FL,Mainland,DB,71.0,180.0,2,,,,Rick Rumph,rickrumph_westvirginia,
292,8331,texas,2019,kenyattawatsonii,Grayson,Loganville,GA,CB,74.0,182,0.9427,4,131,16,16, 90  ,8.0,28,31,Kenyatta Watson II,kenyattawatsonii_texas,,0.8392857142857143,6482,texas,2019,kenyattawatson,Loganville,GA,Grayson,DB,74.0,183.0,4,112.0,13.0,12.0,Kenyatta Watson,kenyattawatson_texas,
293,8342,texas,2019,marcustillmanjr,Jones,Orlando,FL,OLB,73.0,220,0.8856,3,440,25,53, 86  ,6.0,65,96,Marcus Tillman Jr.,marcustillmanjr_texas,,0.8380952380952381,10310,texas,2019,marcustillman,Orlando,FL,Jones,LB,74.0,220.0,3,,32.0,76.0,Marcus Tillman,marcustillman_texas,
294,8352,baylor,2011,trevorclemonsvaldez,Copperas Cove,Copperas Cove,TX,DT,76.0,255,0.8475,3,767,60,124, 82  ,6.0,71,159,Trevor Clemons-Valdez,trevorclemonsvaldez_baylor,,0.9473684210526316,6189,baylor,2011,trevorvaldez,Copperas Cove,TX,Copperas Cove,DT,75.0,268.0,3,,43.0,97.0,Trevor Valdez,trevorvaldez_baylor,
295,8361,baylor,2011,jaylee,Allen,Allen,TX,WR,74.0,190,0.8747,3,369,46,61, 84  ,6.0,96,133,Jay Lee,jaylee_baylor,,0.9220779220779222,10209,baylor,2011,jonathonlee,Allen,TX,Allen,WR,74.0,191.0,3,,42.0,58.0,Jonathon Lee,jonathonlee_baylor,
296,8367,baylor,2011,patrickcolbert,Kilgore,Kilgore,TX,OT,77.0,260,0.8350,3,991,89,156,,,,,Patrick Colbert,patrickcolbert_baylor,,0.8163265306122449,6174,baylor,2011,patcolbert,Kilgore,TX,Kilgore,OL,77.0,260.0,3,,,,Pat Colbert,patcolbert_baylor,
297,8371,baylor,2011,devontedavis,Lincoln,Dallas,TX,OLB,75.0,195,0.7966,2,NA,121,228,,,,,Devonte Davis,devontedavis_baylor,,0.8452380952380951,8238,baylor,2011,devantedavis,Dallas,TX,Lincoln,LB,75.0,195.0,3,,,,Devante Davis,devantedavis_baylor,
298,8497,tcu,2015,davidbolisomi,Ryan,Denton,TX,OT,78.0,290,0.8575,3,705,79,91, 86  ,6.0,98,116,David Bolisomi,davidbolisomi_tcu,,0.8351648351648352,7599,tcu,2015,davebolisomi,Denton,TX,Ryan,OL,78.0,290.0,3,,,,Dave Bolisomi,davebolisomi_tcu,
299,8540,kansasstate,2019,joshyoungblood,Berkeley Prep,Tampa,FL,ATH,71.0,170,0.8398,3,NA,112,192, 84  ,6.0,121,175,Josh Youngblood,joshyoungblood_kansasstate,,0.9821428571428571,9556,kansasstate,2019,joshuayoungblood,Tampa,FL,Berkeley Prep,ATH,71.0,183.0,2,,,,Joshua Youngblood,joshuayoungblood_kansasstate,
300,8548,kansasstate,2019,clydeprice,North Kansas City,Kansas City,MO,RB,73.0,220,0.8199,3,NA,129,35, 84  ,6.0,79,25,Clyde Price,clydeprice_kansasstate,,0.9428571428571428,6558,kansasstate,2019,cjprice,Kansas City,MO,North Kansas City,RB,73.0,215.0,2,,,,CJ Price,cjprice_kansasstate,
301,8623,texas,2015,chriswarreniii,Rockwall,Rockwall,TX,RB,74.0,240,0.9623,4,80,9,13, 96  ,8.0,8,13,Chris Warren III,chriswarreniii_texas,80,0.9693877551020408,9121,texas,2015,chriswarren,Rockwall,TX,Rockwall,RB,74.0,223.0,4,159.0,15.0,22.0,Chris Warren,chriswarren_texas,
302,8694,westvirginia,2008,joemadsen,Chardon,Chardon,OH,OG,76.0,280,NA,0,NA,NA,NA,  N/A  ,0.0,N/A,N/A,Joe Madsen,joemadsen_westvirginia,,0.8428571428571429,6445,westvirginia,2008,joeymadsen,Chardon,OH,Chardon,OL,76.0,275.0,2,,,,Joey Madsen,joeymadsen_westvirginia,
303,8725,texas,2002,vinceyoung,Madison,Houston,TX,DUAL,77.0,200,1.0000,5,1,1,1,  N/A  ,5.0,N/A,N/A,Vince Young,vinceyoung_texas,,0.8333333333333334,9641,texas,2002,vincentyoung,Houston,TX,Madison,QB,77.0,195.0,5,1.0,1.0,,Vincent Young,vincentyoung_texas,
304,8754,texas,2014,armantiforeman,Texas City,Texas City,TX,WR,71.0,176,0.9469,4,111,17,16, 94  ,8.0,20,15,Armanti Foreman,armantiforeman_texas,142,0.8061224489795917,10251,texas,2014,dontaforeman,Texas City,TX,Texas City,ATH,72.0,198.0,2,,,,D'Onta Foreman,dontaforeman_texas,
305,8757,texas,2014,dukecatalon,Aldine Eisenhower,Houston,TX,RB,71.0,190,0.9195,4,203,10,25, 94  ,8.0,12,19,Duke Catalon,dukecatalon_texas,161,0.8862314156431804,6360,texas,2014,donaldcatalon,Houston,TX,Eisenhower,RB,72.0,200.0,4,193.0,19.0,25.0,Donald Catalon,donaldcatalon_texas,
306,8772,texas,2014,dontaforeman,Texas City,Texas City,TX,RB,72.0,207,0.8382,3,NA,64,135, 84  ,6.0,67,143,D'Onta Foreman,dontaforeman_texas,,0.8061224489795917,6832,texas,2014,armantiforeman,Texas City,TX,Texas City,WR,72.0,174.0,4,182.0,26.0,21.0,Armanti Foreman,armantiforeman_texas,
307,8806,texastech,2016,mychthomas,Butler C.C.,El Dorado,KS,DT,73.0,324,0.8487,3,95,13,25, 84  ,6.0,15,30,Mych Thomas,mychthomas_texastech,127,0.9523809523809524,6789,texastech,2016,mychealonthomas,El Dorado,KS,Butler C.C.,DT,74.0,325.0,3,54.0,,,Mychealon Thomas,mychealonthomas_texastech,
308,8817,texastech,2016,giopancotti,Episcopal,Bellaire,TX,OG,78.0,277,0.8350,3,NA,62,144, 83  ,6.0,74,170,Gio Pancotti,giopancotti_texastech,,0.8125,6296,texastech,2016,giovannipancotti,Bellaire,TX,Episcopal,OL,78.0,290.0,3,,,,Giovanni Pancotti,giovannipancotti_texastech,
309,8864,kansasstate,2018,malikknowles,Lake Ridge,Mansfield,TX,WR,74.0,165,0.8275,3,NA,235,235, 85  ,6.0,163,139,Malik Knowles,malikknowles_kansasstate,,0.8051948051948052,45488,texasstate,2018,tjgraham,Mansfield,TX,Lake Ridge,WR,73.0,177.0,3,,,,T.J. Graham,tjgraham_texasstate,Texas State
310,8882,tcu,2002,jarracawilliams,Evangel Christian Academy,Shreveport,LA,DT,71.0,295,0.7667,2,976,73,46,  N/A  ,2.0,N/A,N/A,Jarraca Williams,jarracawilliams_tcu,,0.9453571428571428,8350,tcu,2002,jarrarcawilliams,Shreveport,LA,Evangel Christian,DT,71.0,295.0,2,,,,Jarrarca Williams,jarrarcawilliams_tcu,
311,8918,tcu,2014,shaunnixon,Lake Travis,Austin,TX,APB,69.0,185,0.9266,4,178,5,21, 94  ,8.0,4,20,Shaun Nixon,shaunnixon_tcu,176,0.8241758241758241,9824,tcu,2014,varshaunnixon,Austin,TX,Lake Travis,RB,70.0,195.0,4,147.0,6.0,18.0,Varshaun Nixon,varshaunnixon_tcu,
