,sourceID,targetID,PlayerName,StandardizedPosition,KeyPositionGroup,Year,Sum
"('antoniojonesdavis_northernillinois', 'anthonydavis_toledo_2014')",antoniojonesdavis_northernillinois,anthonydavis_toledo_2014,0.5882352941176471,1,1,1.0,0.8970588235294118
"('antonyowoods_floridaatlantic', 'claytonwoods_utsa_2015')",antonyowoods_floridaatlantic,claytonwoods_utsa_2015,0.5833333333333333,1,1,1.0,0.8958333333333333
"('antwanbarnes_floridainternational', 'lancecarson_oklahomastate_2002')",antwanbarnes_floridainternational,lancecarson_oklahomastate_2002,0.25,1,1,1.0,0.8125
"('antwonbailey_syracuse', 'jamalwomble_northcarolina_2008')",antwonbailey_syracuse,jamalwomble_northcarolina_2008,0.33333333333333337,1,1,1.0,0.8333333333333334
"('antwynezanders_louisianalafayette', 'geneanderson_southernmississippi_2007')",antwynezanders_louisianalafayette,geneanderson_southernmississippi_2007,0.4285714285714286,0,1,1.0,0.6071428571428572
"('armandrobinson_miamiofohio', 'kemontebateman_arizonastate_2008')",armandrobinson_miamiofohio,kemontebateman_arizonastate_2008,0.2142857142857143,1,1,1.0,0.8035714285714286
"('armanilevias_marshall', 'jordandavis_texasam_2015')",armanilevias_marshall,jordandavis_texasam_2015,0.41666666666666663,1,1,1.0,0.8541666666666666
"('arthurjackson_easternmichigan', 'zacharijackson_louisianamonroe_2017')",arthurjackson_easternmichigan,zacharijackson_louisianamonroe_2017,0.6428571428571428,1,1,1.0,0.9107142857142857
"('asantesamuel_floridastate', 'asantesamueljr_floridastate_2018')",asantesamuel_floridastate,asantesamueljr_floridastate_2018,0.8571428571428572,1,1,1.0,0.9642857142857143
"('asherclark_airforce', 'cammontgomery_northtexas_2007')",asherclark_airforce,cammontgomery_northtexas_2007,0.15384615384615385,1,1,1.0,0.7884615384615384
"('asherohara_middletennesseestate', 'tajheachambers_arkansasstate_2015')",asherohara_middletennesseestate,tajheachambers_arkansasstate_2015,0.4285714285714286,1,1,1.0,0.8571428571428572
"('aubreydorisme_newmexicostate', 'lancecarson_oklahomastate_2002')",aubreydorisme_newmexicostate,lancecarson_oklahomastate_2002,0.23076923076923073,1,1,1.0,0.8076923076923077
"('aubrypayne_georgiastate', 'averycagle_akron_2015')",aubrypayne_georgiastate,averycagle_akron_2015,0.5,1,1,1.0,0.875
"('austinbrown_miamiofohio', 'jessebowman_mississippistate_2007')",austinbrown_miamiofohio,jessebowman_mississippistate_2007,0.2727272727272727,1,1,1.0,0.8181818181818181
"('austinrehkow_idaho', 'austinbarnes_easternmichigan_2013')",austinrehkow_idaho,austinbarnes_easternmichigan_2013,0.5,1,1,1.0,0.875
"('austinrobinson_houston', 'curtisrobinson_stanford_2016')",austinrobinson_houston,curtisrobinson_stanford_2016,0.7857142857142857,1,1,1.0,0.9464285714285714
"('averyroberts_oregonstate', 'averyroberts_nebraska_2017')",averyroberts_oregonstate,averyroberts_nebraska_2017,1.0,1,1,1.0,1.0
"('awallerstein_airforce', 'charlessiddoway_california_2009')",awallerstein_airforce,charlessiddoway_california_2009,0.2666666666666667,1,1,1.0,0.8166666666666667
"('baerhunter_appalachianstate', 'khalilhunter_louisville_2015')",baerhunter_appalachianstate,khalilhunter_louisville_2015,0.5833333333333333,1,1,1.0,0.8958333333333333
"('baileyhale_louisianatech', 'colehahn_michiganstate_2017')",baileyhale_louisianatech,colehahn_michiganstate_2017,0.4,1,1,1.0,0.85
"('banddonlindsey_pittsburgh', 'austinmoss_arkansas_2009')",banddonlindsey_pittsburgh,austinmoss_arkansas_2009,0.2142857142857143,1,1,1.0,0.8035714285714286
"('beaublankenship_ohio', 'braylonheard_nebraska_2010')",beaublankenship_ohio,braylonheard_nebraska_2010,0.33333333333333337,1,1,1.0,0.8333333333333334
"('benburr_washington', 'orenburks_vanderbilt_2013')",benburr_washington,orenburks_vanderbilt_2013,0.5555555555555556,1,1,1.0,0.8888888888888888
"('benlynch_westvirginia', 'lancecarson_oklahomastate_2002')",benlynch_westvirginia,lancecarson_oklahomastate_2002,0.09090909090909094,1,1,1.0,0.7727272727272727
"('bennylemay_charlotte', 'benjaminlemay_charlotte_2016')",bennylemay_charlotte,benjaminlemay_charlotte_2016,0.6153846153846154,1,1,1.0,0.9038461538461539
"('benébenwikere_sanjosestate', 'arnessikner_middletennesseestate_2010')",benébenwikere_sanjosestate,arnessikner_middletennesseestate_2010,0.3846153846153846,1,1,1.0,0.8461538461538461
"('bernarddawson_georgiasouthern', 'bernardtaylor_indiana_2011')",bernarddawson_georgiasouthern,bernardtaylor_indiana_2011,0.6923076923076923,1,1,1.0,0.9230769230769231
"('billkuduk_kentstate', 'billkuduk_kansasstate_2017')",billkuduk_kentstate,billkuduk_kansasstate_2017,1.0,1,1,1.0,1.0
"('billswancutt_oregonstate', 'lancecarson_oklahomastate_2002')",billswancutt_oregonstate,lancecarson_oklahomastate_2002,0.08333333333333337,1,1,1.0,0.7708333333333334
"('bjlarsen_utahstate', 'allancarson_tennessee_2011')",bjlarsen_utahstate,allancarson_tennessee_2011,0.4545454545454546,1,1,1.0,0.8636363636363636
"('blairblairbrown_ohio', 'beniquezbrown_mississippistate_2012')",blairblairbrown_ohio,beniquezbrown_mississippistate_2012,0.4666666666666667,1,1,1.0,0.8666666666666667
"('blakecopeland_navy', 'blakenowland_coloradostate_2013')",blakecopeland_navy,blakenowland_coloradostate_2013,0.7692307692307692,1,1,1.0,0.9423076923076923
"('blakecusick_fresnostate', 'blakegillikin_pennstate_2016')",blakecusick_fresnostate,blakegillikin_pennstate_2016,0.46153846153846156,1,1,1.0,0.8653846153846154
"('blakedees_southalabama', 'blakedees_texastech_2011')",blakedees_southalabama,blakedees_texastech_2011,1.0,1,1,1.0,1.0
"('blakefrohnapfel_massachusetts', 'blakefrohnapfel_marshall_2011')",blakefrohnapfel_massachusetts,blakefrohnapfel_marshall_2011,1.0,1,1,1.0,1.0
"('blarsen_utahstate', 'allancarson_tennessee_2011')",blarsen_utahstate,allancarson_tennessee_2011,0.4545454545454546,1,1,1.0,0.8636363636363636
"('bobbybaker_georgiastate', 'bobbybaker_alabamabirmingham_2014')",bobbybaker_georgiastate,bobbybaker_alabamabirmingham_2014,1.0,1,1,1.0,1.0
"('bobbyjonesiv_northernillinois', 'joeyjones_cincinnati_2012')",bobbyjonesiv_northernillinois,joeyjones_cincinnati_2012,0.5833333333333333,1,1,1.0,0.8958333333333333
"('booboogates_bowlinggreen', 'rykeemyates_nevada_2011')",booboogates_bowlinggreen,rykeemyates_nevada_2011,0.36363636363636365,1,1,1.0,0.8409090909090909
"('bradkoenig_miamiofohio', 'ifeadiodenigbo_northwestern_2012')",bradkoenig_miamiofohio,ifeadiodenigbo_northwestern_2012,0.5,1,1,1.0,0.875
"('bradmiller_texasstate', 'bradhefley_arkansas_2010')",bradmiller_texasstate,bradhefley_arkansas_2010,0.6,1,1,1.0,0.9
"('bradmuhammad_floridainternational', 'ahkimuhammad_nevada_2014')",bradmuhammad_floridainternational,ahkimuhammad_nevada_2014,0.6666666666666667,1,1,1.0,0.9166666666666667
"('bradyamack_airforce', 'austinmoss_arkansas_2009')",bradyamack_airforce,austinmoss_arkansas_2009,0.09999999999999998,1,1,1.0,0.775
"('bradywhite_memphis', 'bradywhite_arizonastate_2015')",bradywhite_memphis,bradywhite_arizonastate_2015,1.0,1,1,1.0,1.0
"('brandenleston_westernkentucky', 'brandonwatson_michigan_2014')",brandenleston_westernkentucky,brandonwatson_michigan_2014,0.6923076923076923,1,1,1.0,0.9230769230769231
"('brandercraighead_utep', 'brandonlinder_miami_2010')",brandercraighead_utep,brandonlinder_miami_2010,0.4375,1,1,1.0,0.859375
"('brandonaddison_olddominion', 'brandonwatson_michigan_2014')",brandonaddison_olddominion,brandonwatson_michigan_2014,0.7142857142857143,1,1,1.0,0.9285714285714286
"('brandonalexander_centralflorida', 'brandonbeaver_washington_2012')",brandonalexander_centralflorida,brandonbeaver_washington_2012,0.6875,1,1,1.0,0.921875
"('brandoncrawford_ballstate', 'jessebowman_mississippistate_2007')",brandoncrawford_ballstate,jessebowman_mississippistate_2007,0.06666666666666665,1,1,1.0,0.7666666666666666
"('brandonguillory_louisianamonroe', 'lancecarson_oklahomastate_2002')",brandonguillory_louisianamonroe,lancecarson_oklahomastate_2002,0.19999999999999996,1,1,1.0,0.8
"('brandonlang_troy', 'jessebowman_mississippistate_2007')",brandonlang_troy,jessebowman_mississippistate_2007,0.18181818181818177,1,1,1.0,0.7954545454545454
"('brandonshook_newmexico', 'brandonhill_duke_2016')",brandonshook_newmexico,brandonhill_duke_2016,0.6666666666666667,1,1,1.0,0.9166666666666667
"('brandonwilliams_eastcarolina', 'camrenwilliams_ohiostate_2012')",brandonwilliams_eastcarolina,camrenwilliams_ohiostate_2012,0.6666666666666667,1,1,1.0,0.9166666666666667
"('brandonwilson_houston', 'brandonwatson_michigan_2014')",brandonwilson_houston,brandonwatson_michigan_2014,0.8461538461538461,1,1,1.0,0.9615384615384616
"('brandonwright_georgiastate', 'colindowning_iowastate_2014')",brandonwright_georgiastate,colindowning_iowastate_2014,0.3076923076923077,1,1,1.0,0.8269230769230769
"('brantweiss_toledo', 'brianlewerke_michiganstate_2015')",brantweiss_toledo,brianlewerke_michiganstate_2015,0.5,1,1,1.0,0.875
"('braydennarveson_westernkentucky', 'braydennarveson_iowastate_2018')",braydennarveson_westernkentucky,braydennarveson_iowastate_2018,1.0,1,1,1.0,1.0
"('brendenknox_marshall', 'brendenbrady_utsa_2018')",brendenknox_marshall,brendenbrady_utsa_2018,0.5833333333333333,1,1,1.0,0.8958333333333333
"('brentharstad_floridaatlantic', 'treshouston_tulsa_2010')",brentharstad_floridaatlantic,treshouston_tulsa_2010,0.41666666666666663,1,1,1.0,0.8541666666666666
"('brentleonard_louisianamonroe', 'brelanchancellor_northtexas_2010')",brentleonard_louisianamonroe,brelanchancellor_northtexas_2010,0.3125,1,1,1.0,0.828125
"('brentstockstill_middletennesseestate', 'brentstockstill_cincinnati_2013')",brentstockstill_middletennesseestate,brentstockstill_cincinnati_2013,1.0,1,1,1.0,1.0
"('brettboyko_unlv', 'breycook_arkansas_2011')",brettboyko_unlv,breycook_arkansas_2011,0.5,1,1,1.0,0.875
"('brianeavey_centralmichigan', 'ryankay_troy_2011')",brianeavey_centralmichigan,ryankay_troy_2011,0.5,1,1,1.0,0.875
"('briannordstrom_rice', 'brandonmoore_texas_2012')",briannordstrom_rice,brandonmoore_texas_2012,0.4285714285714286,1,1,1.0,0.8571428571428572
"('brianprice_ucla', 'lancecarson_oklahomastate_2002')",brianprice_ucla,lancecarson_oklahomastate_2002,0.09090909090909094,1,1,1.0,0.7727272727272727
"('bricengarner_westernmichigan', 'bricengarner_pittsburgh_2016')",bricengarner_westernmichigan,bricengarner_pittsburgh_2016,1.0,1,1,1.0,1.0
"('brodiehicks_airforce', 'boobiehobbs_utah_2014')",brodiehicks_airforce,boobiehobbs_utah_2014,0.5454545454545454,1,1,1.0,0.8863636363636364
"('brontaeharris_alabamabirmingham', 'delvontaeharris_eastcarolina_2017')",brontaeharris_alabamabirmingham,delvontaeharris_eastcarolina_2017,0.7333333333333334,1,1,1.0,0.9333333333333333
"('bryanlondonii_texasstate', 'bryanlondon_texasstate_2015')",bryanlondonii_texasstate,bryanlondon_texasstate_2015,0.8461538461538461,1,1,1.0,0.9615384615384616
"('bryantkoback_toledo', 'bryantkoback_kentucky_2017')",bryantkoback_toledo,bryantkoback_kentucky_2017,1.0,1,1,1.0,1.0
"('brycewilliams_eastcarolina', 'maxxwilliams_minnesota_2012')",brycewilliams_eastcarolina,maxxwilliams_minnesota_2012,0.6153846153846154,1,1,1.0,0.9038461538461539
"('bryndentrawick_troy', 'bryantjackson_texas_2010')",bryndentrawick_troy,bryantjackson_texas_2010,0.3571428571428571,1,1,1.0,0.8392857142857143
"('brysonalbright_miamiofohio', 'darrianwright_smu_2011')",brysonalbright_miamiofohio,darrianwright_smu_2011,0.4285714285714286,1,1,1.0,0.8571428571428572
"('bubbaarslanian_akron', 'tufborland_ohiostate_2016')",bubbaarslanian_akron,tufborland_ohiostate_2016,0.4285714285714286,1,1,1.0,0.8571428571428572
"('cadecoffey_idaho', 'ajcole_northcarolinastate_2014')",cadecoffey_idaho,ajcole_northcarolinastate_2014,0.4,1,1,1.0,0.85
"('calebhouston_centralflorida', 'willgleeson_olemiss_2013')",calebhouston_centralflorida,willgleeson_olemiss_2013,0.33333333333333337,1,1,1.0,0.8333333333333334
"('calebwilson_ucla', 'tylerwilson_tulsa_2012')",calebwilson_ucla,tylerwilson_tulsa_2012,0.7272727272727273,1,1,1.0,0.9318181818181819
"('calvinaustiniii_memphis', 'kevinaustin_notredame_2018')",calvinaustiniii_memphis,kevinaustin_notredame_2018,0.6,1,1,1.0,0.9
"('calvinturner_hawaii', 'malikturner_illinois_2014')",calvinturner_hawaii,malikturner_illinois_2014,0.75,1,1,1.0,0.9375
"('camerongraham_louisville', 'paulnichols_arizona_2005')",camerongraham_louisville,paulnichols_arizona_2005,0.15384615384615385,1,1,1.0,0.7884615384615384
