college,FiveDrafted,FourDrafted,ThreeDrafted,TwoDrafted,OneDrafted,FiveUndrafted,FourUndrafted,ThreeUndrafted,TwoUndrafted,OneUndrafted,DraftedCountNFL,UndraftedCountNFL
maryland,1,6,18,3,2,3,33,184,42,80,29,0
massachusetts,0,0,2,3,3,0,0,21,62,121,7,0
memphis,0,1,5,6,2,0,4,126,206,112,12,0
miami,7,34,19,0,12,11,89,151,12,108,70,0
michigan,7,39,13,0,4,5,103,131,6,81,59,0
michiganstate,2,8,19,1,8,1,39,200,34,110,37,0
middletennesseestate,0,0,2,4,0,0,2,83,237,81,4,0
minnesota,0,1,14,6,0,0,14,213,84,92,19,0
mississippistate,3,10,18,1,1,3,40,218,58,87,30,0
missouri,3,6,21,4,4,0,28,229,34,88,33,0
navy,0,0,0,0,3,0,0,13,82,352,3,0
nebraska,0,11,23,0,11,1,58,201,27,71,41,0
nevada,0,0,4,8,2,0,2,75,213,134,14,0
newmexico,0,0,0,3,5,0,1,78,216,120,7,0
newmexicostate,0,0,0,4,1,0,1,34,214,128,5,0
northcarolina,1,12,24,2,5,1,45,199,36,108,40,0
northcarolinastate,1,8,23,5,5,1,16,209,47,104,39,0
northernillinois,0,0,2,6,2,0,0,69,235,79,8,0
northtexas,0,0,0,0,0,0,0,67,218,135,0,0
northwestern,0,3,9,3,1,0,4,186,66,122,14,0
notredame,7,45,12,1,1,7,99,111,8,61,64,0
ohio,0,0,0,8,1,0,0,53,220,93,8,0
ohiostate,10,55,20,0,14,16,92,51,3,142,94,0
oklahoma,4,37,23,0,10,14,101,142,9,105,68,0
oklahomastate,0,8,13,3,2,1,35,250,39,97,23,0
olddominion,0,0,1,0,1,0,0,20,86,99,2,0
olemiss,6,11,15,2,0,4,59,217,46,74,31,0
oregon,5,11,26,5,6,3,69,162,45,92,46,0
oregonstate,1,2,19,5,5,0,10,223,71,118,30,0
pennstate,5,20,28,2,9,2,64,141,15,109,59,0
pittsburgh,1,10,20,3,4,1,31,207,48,78,34,0
purdue,0,1,19,3,3,0,15,204,74,78,22,0
rice,0,0,1,5,2,0,0,70,167,71,8,0
rutgers,0,3,16,3,5,3,18,176,81,113,24,0
sandiegostate,0,0,10,10,6,0,9,141,149,80,22,0
sanjosestate,0,0,2,6,6,0,5,66,174,82,13,0
smu,0,0,6,5,3,0,2,123,198,89,14,0
southalabama,0,0,0,0,2,0,0,29,77,109,2,0
southcarolina,2,13,21,4,5,2,69,205,35,79,42,0
southernmississippi,0,1,6,5,1,1,6,139,181,128,12,0
southflorida,0,1,11,5,4,0,11,166,104,119,18,0
stanford,5,16,23,3,4,0,50,138,40,53,47,0
syracuse,0,1,6,7,9,0,9,179,96,100,21,0
tcu,0,5,18,12,4,0,17,183,66,83,34,0
temple,0,0,4,11,4,0,2,101,221,113,19,0
tennessee,4,24,13,0,2,9,99,174,7,89,40,0
texas,11,30,10,0,5,11,146,106,4,85,56,0
texasam,8,12,19,2,4,5,86,183,23,83,43,0
texasstate,0,0,0,1,2,0,0,22,64,196,3,0
texastech,0,3,18,0,1,0,29,226,47,134,18,0
toledo,0,0,4,3,2,0,2,94,196,93,9,0
troy,0,0,3,4,2,0,1,76,259,122,8,0
tulane,0,0,4,5,3,0,0,103,197,66,9,0
tulsa,0,0,3,2,0,0,3,121,183,91,5,0
ucla,4,22,15,1,5,4,89,150,21,124,42,0
uconn,0,0,10,13,2,0,1,114,155,77,23,0
unlv,0,0,2,2,1,0,2,78,230,87,5,0
usc,27,39,13,0,8,20,107,79,9,89,81,0
utah,0,5,21,12,4,0,12,158,74,157,38,0
utahstate,0,0,3,9,2,0,1,50,233,115,14,0
utep,0,0,1,2,5,0,0,38,171,174,8,0
utsa,0,0,0,1,1,0,0,24,52,145,2,0
vanderbilt,0,2,13,3,2,0,11,172,100,55,19,0
virginia,2,7,18,1,3,3,28,202,33,111,29,0
virginiatech,2,13,21,2,13,1,36,205,28,84,44,0
wakeforest,0,0,17,2,4,0,2,161,68,89,23,0
washington,1,12,22,1,1,2,46,194,46,51,34,0
washingtonstate,0,0,0,0,15,0,0,0,0,414,12,0
westernkentucky,0,0,1,5,2,0,0,38,95,150,7,0
westernmichigan,0,0,6,4,4,0,0,103,211,104,13,0
westvirginia,0,7,20,5,7,2,21,220,74,100,37,0
wisconsin,0,8,29,3,13,2,20,190,55,95,52,0
wyoming,0,0,2,8,1,0,1,59,222,135,11,0
